     MaNGAID     objRA    objDec    g_ps1    r_ps1    i_ps1    z_ps1 gerr_ps1 rerr_ps1 ierr_ps1 zerr_ps1
 27-1021      38.70491  47.40860   15.257   14.691   14.451   14.342    0.005    0.004    0.003    0.002
 27-1022      39.29492  48.05330   15.026   14.543   14.412   14.293    0.011    0.003    0.043    0.004
 27-1024      36.62405  46.67965   14.658   14.270 -999.000   14.116    0.002    0.002  999.000    0.006
 27-1026      39.10123  46.83745   14.944   14.783   14.821   14.863    0.004    0.006    0.005    0.004
 27-1031      39.72245  47.50122   15.514   15.143   15.048   14.997    0.004    0.004    0.006    0.004
 27-1032      40.20874  47.50153   15.991   15.578   15.417   15.352    0.003    0.003    0.003    0.005
 27-1034      39.45739  46.79164   15.013   14.562   14.415   14.355    0.013    0.005    0.005    0.004
 27-1035      37.13347  47.56103   15.087   14.656   14.574   14.454    0.006    0.005    0.008    0.002
 27-1036      37.36323  48.34217   16.040   15.536   15.366   15.283    0.085    0.031    0.009    0.020
 27-1307      61.54692  36.49943   17.672   16.920   16.590   16.416    0.001    0.004    0.003    0.003
 27-1318      61.64316  37.11817   16.245   15.640   15.377   15.250    0.003    0.004    0.002    0.005
 27-1328      61.92635  37.55734   18.045   16.992   16.513   16.257    0.002    0.008    0.002    0.005
 27-1339      60.44173  36.49057   17.041   15.816   15.251   14.972    0.004    0.003    0.004    0.004
 27-1345      61.11389  36.29443   16.516   15.637   15.201   15.004    0.003    0.006    0.003    0.007
 27-1529      74.29553  22.93366   14.749   14.084   13.804   13.634    0.003    0.002  999.000    0.004
 27-1542      75.08680  23.14414   14.841   14.177   13.881   13.723    0.005    0.003    0.003    0.005
 27-1581      75.85482  22.96000   15.921   15.276   14.977   14.833    0.004    0.005    0.003    0.002
 27-1597      75.15883  21.36053   15.009   14.390   14.100   13.955    0.006    0.012    0.006    0.029
 27-1602      76.10040  22.13635   16.303   15.595   15.235   15.059    0.003    0.002    0.004    0.005
 27-1606      76.64258  21.91603   19.298   17.828   17.071   16.680    0.008    0.004    0.002    0.005
 27-1609      74.63129  21.59345   15.880   15.162   14.838   14.663    0.004    0.002    0.002    0.003
 27-1610      75.29811  21.54470   17.125   16.291   15.941   15.772    0.002    0.002    0.003    0.004
 27-1612      74.18486  22.08941   15.133   14.564   14.280   14.147    0.004    0.003    0.002    0.001
 27-1617      76.29290  22.79897   16.461   15.902   15.655   15.522    0.006    0.004    0.004    0.003
 27-1619      75.66612  21.68411   16.189   15.458   15.120   14.950    0.005    0.004    0.003    0.008
 27-1622      76.49838  22.47632   17.964   16.505   15.600   15.159    0.004    0.003    0.002    0.001
 27-1625      75.94304  21.47210   15.185   14.341   13.925   13.689    0.003    0.007    0.009  999.000
 27-1629      75.33052  23.39737   16.822   15.938   15.530   15.330    0.007    0.003    0.002  999.000
 27-1631      76.38571  22.78726   16.324   15.385   14.935   14.651    0.001    0.005    0.006    0.005
 27-1633      75.36978  21.04646   17.228   16.277   15.798   15.546    0.002    0.005    0.003    0.005
 27-1635      74.80340  22.49730   16.882   16.228   15.938   15.778    0.003    0.001    0.002    0.005
 27-1637      74.47088  22.12605   16.559   15.881   15.559   15.401    0.004    0.003    0.002    0.002
 27-1640      75.58755  21.21646   15.722   15.065   14.750   14.576    0.003    0.004    0.003    0.005
 27-1647      74.12228  21.43558   19.235   17.939   17.312   16.968    0.009    0.007    0.004    0.003
 27-1718     104.50685  23.57800   16.169   15.851   15.756   15.749    0.008    0.002    0.007    0.002
 27-1720     103.37767  25.78300   16.540   15.948   15.671   15.569    0.004    0.008    0.001    0.004
 27-1721     103.95035  25.33528   16.477   15.985   15.814   15.742    0.004    0.003    0.002    0.008
 27-1723     105.34534  25.00940   15.311   14.915   14.784   14.747  999.000    0.003    0.003    0.003
 27-1725     104.29025  23.75122   17.777   16.689   16.229   16.007    0.010    0.004    0.003    0.003
 27-1726     105.57816  24.73303   18.058   16.848   15.863   15.424    0.008    0.003    0.003    0.001
 27-1731     103.91467  24.05801   15.795   15.384   15.273   15.236    0.003    0.006    0.002    0.007
 27-1854     177.64805   1.63101   14.977   15.078   15.216   15.309  999.000    0.002    0.010    0.003
 27-1858     177.57700   1.77599   15.962   15.703   15.607   15.602    0.003    0.010    0.003    0.003
 27-1867     176.94167   1.30406   14.714   14.326   14.219   14.184    0.005    0.005  999.000    0.002
 27-355      351.32925  51.92828   14.603   14.106   13.954   13.862  999.000    0.003    0.017    0.005
 27-412      351.74038  52.90442   16.717   16.195   16.004   15.915    0.005    0.003    0.004    0.003
 27-414      348.66994  52.30479   16.129   15.618   15.437   15.361    0.001    0.006    0.003    0.002
 27-427      350.70839  51.70157   15.879   15.194   14.903   14.753    0.002    0.001    0.003    0.006
 27-440      348.44234  53.01297   16.517   15.757   15.455   15.300    0.004    0.002    0.002    0.004
 27-442      350.26061  52.80774   17.850   16.888   16.471   16.232    0.008    0.004    0.003    0.005
 27-459      349.16572  51.17768   16.178   15.525   15.248   15.118    0.005    0.003    0.002    0.003
 27-466      350.67059  53.24331   16.980   16.139   15.821   15.651    0.005    0.003    0.002    0.003
 27-467      348.73946  51.75146   17.437   16.620   16.268   16.086    0.003  999.000    0.002    0.003
 27-473      349.91052  51.26097   18.033   17.064   16.706   16.516    0.006    0.004    0.002    0.003
 27-499      354.22776  48.80785   14.849   14.502   14.389   14.357    0.003    0.004    0.004    0.006
 3-10044956  291.41834  42.57982   15.210   14.689   14.539   14.488    0.005    0.004    0.005    0.002
 3-100635399 288.51154 -28.39301   16.627   15.542   15.067   14.827    0.005    0.006    0.004    0.004
 3-100637315 288.75130 -28.02989   15.851   15.949   16.100   16.163    0.003    0.004    0.002    0.004
 3-100637390 288.93129 -27.82989   15.364   14.207   13.645   13.317    0.010    0.010  999.000    0.002
 3-100638002 289.05478 -27.76397   15.158   15.232   15.363   15.432    0.008    0.004    0.002    0.003
 3-100753239 288.70764 -28.52356   16.271   15.108   14.557   14.298    0.002    0.005    0.001    0.006
 3-100754688 288.99719 -28.06606   14.980   15.008   15.110   15.158  999.000  999.000    0.006    0.005
 3-100757333 289.78780 -27.41786   16.079   16.210   16.367   16.469    0.008    0.004    0.003    0.002
 3-100868827 289.36147 -28.03234   15.546   15.558   15.651   15.686    0.003    0.002    0.002    0.006
 3-100870422 289.62992 -27.79821   16.338   16.425   16.560   16.627    0.004  999.000    0.005    0.009
 3-100976462 288.99372 -28.79672   15.687   15.687   15.773   15.801    0.005    0.003    0.002    0.003
 3-100980315 290.11630 -27.81487   14.837   14.878   14.993   15.055    0.007    0.008    0.003    0.002
 3-101083138 289.77850 -28.41848   15.100   15.191   15.343   15.399    0.005    0.005    0.003    0.004
 3-101085632 290.28782 -27.78575   15.020   14.947   14.997   15.045    0.006    0.003    0.003    0.004
 3-101285440 289.90647 -28.95932   15.515   15.605   15.758   15.828    0.002    0.003    0.002    0.002
 3-101286500 289.90562 -28.81953   16.864   15.622   14.402   13.833    0.005    0.005    0.005    0.003
 3-101478604 289.80219 -29.61166   16.809   15.404   14.444   13.993    0.011    0.009    0.003    0.007
 3-101481666 290.70009 -28.70579   15.728   15.852   16.033   16.119    0.004    0.003    0.002    0.004
 3-101576625 291.45294 -28.36465   14.930   15.022   15.161   15.239    0.005    0.003    0.002    0.002
 3-101663533 290.16413 -30.00493   15.891   15.990   16.148   16.223    0.007    0.006    0.004    0.002
 3-101663937 290.45381 -29.85042   15.265   15.372   15.529   15.591    0.005  999.000    0.002    0.007
 3-101753882 290.51984 -29.97466   15.414   15.531   15.681   15.762    0.009    0.004    0.003    0.007
 3-101756092 291.30477 -29.42147   15.731   15.727   15.773   15.814    0.002    0.005    0.002    0.005
 3-10304716  291.71503  41.96534   14.746   13.840   13.412   13.205    0.005    0.023  999.000  999.000
 3-103101579  34.28317  -3.86231   16.976   15.746   14.710   14.200    0.006    0.005    0.011    0.031
 3-103101704  34.77730  -4.36987   16.336   15.110   14.369   14.034    0.005    0.003    0.002    0.005
 3-103101748  35.19420  -4.53615   16.658   15.425   14.431   14.011    0.008    0.008    0.002    0.004
 3-103101790  35.41194  -4.74608   17.172   17.386   17.617   17.783    0.005    0.007    0.004    0.006
 3-103101874  35.65829  -5.06366   16.690   17.117   17.489   17.777    0.003    0.003    0.004    0.006
 3-103163341  30.39916  -0.93775   15.562   14.564   14.154   13.947    0.013    0.004    0.003    0.004
 3-103163351  30.65977  -1.11435   15.443   14.607   14.288   14.138    0.006    0.002    0.005    0.004
 3-103164385  35.18712  -5.04997   16.707   15.504   14.770   14.429    0.008    0.003    0.003    0.010
 3-103225147  30.22316  -1.16953   15.893   15.059   14.668   14.488    0.004    0.007    0.003    0.002
 3-103225210  30.30694  -1.17476   15.207   14.785   14.612   14.545    0.005    0.003    0.001    0.003
 3-103226058  34.55932  -4.57934   15.858   14.625   13.840   13.466    0.008    0.002    0.011    0.008
 3-103285545  30.10445  -1.18231   16.274   15.987   15.868   15.837    0.006    0.005    0.005    0.003
 3-103286594  35.11660  -5.40124   16.870   15.689   14.928   14.595    0.003    0.003    0.003    0.007
 3-103344770  29.62145  -1.22769   15.652   15.323   15.216   15.184    0.003    0.003    0.002    0.007
 3-103344772  29.64716  -1.18829   15.788   15.446   15.331   15.325    0.005    0.003    0.004    0.005
 3-103345668  33.57619  -4.35282   15.432   15.692   15.962   16.118    0.005    0.004    0.003    0.006
 3-103404362  34.64443  -5.79251   16.824   15.623   14.906   14.595    0.005    0.006    0.003    0.003
 3-103404412  34.98807  -6.07206   17.110   17.225   17.403   17.538    0.004    0.003    0.005    0.009
 3-103517906  29.34208  -1.64907   15.898   14.937   14.549   14.350    0.008    0.002    0.004    0.005
 3-103519047  34.37464  -6.15690   16.063   14.828   14.118   13.805    0.008    0.002    0.008    0.004
